Alg	n	ns/ops
Heap	6	11.2
SJT	14	153.3
Heap	17	11.1
SJT	19	215.2
Heap	5	12.4
Lex	3	101.8
SJT	4	68.0
Heap	7	11.1
SJT	2	76.5
SJT	11	105.8
SJT	12	114.9
SJT	10	93.1
SJTE	8	59.7
Lex	14	240.8
Lex	8	182.5
Lex	7	179.2
SJTE	11	62.1
SJTE	12	61.1
SJTE	6	28.3
SJTE	5	27.4
Heap	8	11.1
Heap	9	11.1
Heap	19	11.6
SJTE	1	191.4
SJTE	2	106.3
SJTE	3	48.7
Lex	9	198.4
SJT	9	93.2
Lex	12	221.2
Lex	16	293.7
Heap	18	11.0
SJT	0	110.1
SJTE	10	66.6
Heap	12	11.1
SJT	13	125.7
SJT	18	208.0
SJT	7	79.8
SJT	3	72.1
SJTE	4	30.8
SJT	8	84.8
Lex	11	224.0
SJTE	13	59.3
SJT	15	167.1
SJTE	15	61.5
Heap	1	122.5
Lex	18	311.0
Lex	17	284.0
Heap	2	66.3
Heap	4	16.6
Heap	10	11.3
Lex	15	253.5
SJTE	16	60.5
SJTE	17	62.5
SJTE	0	139.8
SJT	5	72.6
SJTE	9	60.4
Heap	14	11.1
Heap	15	11.0
Heap	0	113.3
Lex	6	135.7
Lex	10	211.5
Heap	13	11.0
SJTE	19	68.6
SJT	1	115.3
Heap	3	29.6
SJTE	7	51.9
Heap	11	11.1
SJT	16	169.4
Lex	2	125.5
Lex	0	129.3
Lex	4	103.7
SJTE	18	66.8
Lex	19	272.6
Lex	1	148.9
SJT	6	72.7
Lex	13	243.7
SJTE	14	61.2
Heap	16	11.1
SJT	17	186.5
Lex	5	130.4
